figure_file,pixel_width,pixel_height,placed_width_in_manuscript_in,placed_height_in_manuscript_in,effective_dpi_width,effective_dpi_height
Figure1.png,2681,1192,5.54,2.46,484,484
Figure2.png,3568,2068,5.83,3.38,612,612
Figure3.png,2776,1734,5.83,3.64,476,476
Figure4.png,2048,816,5.13,2.05,399,399
Figure5.png,2048,1726,5.83,4.92,351,351
Figure6.png,2048,1460,5.83,4.16,351,351
Figure7.png,2048,690,5.13,1.73,399,399
Figure8.png,3366,1712,5.37,2.42,627,706
Supplementary_Figure_S1.png,2048,1726,5.83,4.92,351,351
Supplementary_Figure_S2.png,2048,690,5.13,1.73,399,399
Supplementary_Figure_S3.png,1593,663,5.13,2.14,310,310
