power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,transmural_int
30.0,30.0,2.0,4.0,800.0,0.5,281,106,0.05,0.2,2.0,4.137691197839233,7.890612244898002,0.4833613492095377,1.0,True,0.0,69.44709803051825,standard_30W_30s,1
50.0,10.0,2.0,4.0,800.0,0.5,281,106,0.05,0.2,1.8329103139577794,3.3993333894791,5.293469387755131,0.5391969848060849,0.9164551569788897,False,0.0,75.50573460225291,hpsd_50W_10s,0
90.0,4.0,2.0,4.0,800.0,0.5,281,106,0.05,0.2,1.3112395455496326,3.24354566343288,3.74326530612247,0.40426116405028584,0.6556197727748163,False,0.0,86.55066263581384,vhpsd_90W_4s,0
30.0,30.0,2.0,4.0,800.0,1.0,281,106,0.05,0.2,2.0,4.576286500784626,8.7502040816327,0.43703557451158065,1.0,True,0.0,74.90516446721749,standard_30W_30s,1
50.0,10.0,2.0,4.0,800.0,1.0,281,106,0.05,0.2,2.0,3.7182688789064766,6.435918367346974,0.5378847160155318,1.0,True,0.0,83.36934848879346,hpsd_50W_10s,1
90.0,4.0,2.0,4.0,800.0,1.0,281,106,0.05,0.2,1.4813655553967857,3.4631933261084678,4.481632653061249,0.42774555616892784,0.7406827776983929,False,0.0,96.38101952228378,vhpsd_90W_4s,0
30.0,30.0,2.0,4.0,800.0,1.5,281,106,0.05,0.2,2.0,4.959850171364727,9.506938775510257,0.4032379872172006,1.0,True,0.0,81.29669313070485,standard_30W_30s,1
50.0,10.0,2.0,4.0,800.0,1.5,281,106,0.05,0.2,2.0,3.980157675397167,7.23673469387759,0.5024926555957174,1.0,True,0.0,91.60438743712024,hpsd_50W_10s,1
90.0,4.0,2.0,4.0,800.0,1.5,281,106,0.05,0.2,1.6344570090776593,3.6405872014694776,5.212653061224518,0.4489542259605624,0.8172285045388297,False,0.42612244897959417,105.59264552789827,vhpsd_90W_4s,0
30.0,30.0,2.0,4.0,800.0,2.0,281,106,0.05,0.2,2.0,5.305260763925725,10.175510204081688,0.37698429709608905,1.0,True,0.0,88.83424529685749,standard_30W_30s,1
50.0,10.0,2.0,4.0,800.0,2.0,281,106,0.05,0.2,2.0,4.207878008731637,7.839183673469432,0.4752989501715264,1.0,True,0.0,99.94614970103152,hpsd_50W_10s,1
90.0,4.0,2.0,4.0,800.0,2.0,281,106,0.05,0.2,1.7719454268592059,3.7807355249847454,5.833469387755135,0.4686774346286376,0.8859727134296029,False,1.410612244897967,113.95869014449913,vhpsd_90W_4s,0
30.0,30.0,2.0,4.0,1500.0,0.5,281,106,0.05,0.2,2.0,3.5455377602974245,6.186122448979626,0.5640893244448837,1.0,True,0.0,64.66010322846056,standard_30W_30s,1
50.0,10.0,2.0,4.0,1500.0,0.5,281,106,0.05,0.2,1.7228934497717197,3.004316359105685,4.07387755102043,0.5734727118699926,0.8614467248858598,False,0.0,69.407263317188,hpsd_50W_10s,0
