power_W,duration_s,wall_thickness_mm,bottom_buffer_mm,cooling_h_W_per_m2K,insertion_depth_mm,nx,ny,dt_s,source_smoothing_mm,lesion_depth_mm,lesion_width_mm,lesion_area_mm2,depth_to_width_ratio,depth_fraction,transmural,overheat_area_mm2,peak_temperature_C,name,sample_id,cooling_h_nominal_W_per_m2K,insertion_nominal_mm,cooling_h_sampled_W_per_m2K,insertion_sampled_mm,overheat
30.0,30.0,2.0,4.0,808.2998356171678,0.5391494940026424,281,106,0.05,0.2,2.0,4.165106312362893,7.956734693877595,0.4801798201557517,1.0,True,0.0,69.74993272169182,standard_30W_30s,0,800.0,0.5,808.2998356171678,0.5391494940026424,False
30.0,30.0,2.0,4.0,892.6384273128396,0.6427171928549213,281,106,0.05,0.2,2.0,4.1634912507831245,7.905306122449023,0.4803660869045452,1.0,True,0.0,69.87144037883434,standard_30W_30s,1,800.0,0.5,892.6384273128396,0.6427171928549213,False
30.0,30.0,2.0,4.0,639.1108211777487,0.5885364605867072,281,106,0.05,0.2,2.0,4.448864848383186,8.566530612244945,0.44955287880386907,1.0,True,0.0,72.7177816172592,standard_30W_30s,2,800.0,0.5,639.1108211777487,0.5885364605867072,False
30.0,30.0,2.0,4.0,966.4146746086911,0.25,281,106,0.05,0.2,2.0,3.693544832474962,6.766530612244935,0.5414852372753912,1.0,True,0.0,65.49919958215716,standard_30W_30s,3,800.0,0.5,966.4146746086911,0.25,False
30.0,30.0,2.0,4.0,733.9690860188978,0.7110189918760268,281,106,0.05,0.2,2.0,4.415828312059403,8.47102040816331,0.4529161594752454,1.0,True,0.0,72.56617234122515,standard_30W_30s,4,800.0,0.5,733.9690860188978,0.7110189918760268,False
30.0,30.0,2.0,4.0,941.6634647088113,0.7211151833354164,281,106,0.05,0.2,2.0,4.18363469846423,7.927346938775553,0.47805321070077644,1.0,True,0.0,70.1707787780503,standard_30W_30s,5,800.0,0.5,941.6634647088113,0.7211151833354164,False
30.0,30.0,2.0,4.0,910.8347009533558,0.5445087319736587,281,106,0.05,0.2,2.0,4.0523680047110515,7.666530612244941,0.4935385921700384,1.0,True,0.0,68.70919014595499,standard_30W_30s,6,800.0,0.5,910.8347009533558,0.5445087319736587,False
30.0,30.0,2.0,4.0,772.5862974531808,0.5490346026391428,281,106,0.05,0.2,2.0,4.218949334012091,8.059591836734738,0.4740516753487678,1.0,True,0.0,70.29086571956613,standard_30W_30s,7,800.0,0.5,772.5862974531808,0.5490346026391428,False
30.0,30.0,2.0,4.0,623.7674211891723,0.4233998427088593,281,106,0.05,0.2,2.0,4.3240189675887635,8.309387755102087,0.4625326611634351,1.0,True,0.0,71.13742561304079,standard_30W_30s,8,800.0,0.5,623.7674211891723,0.4233998427088593,False
30.0,30.0,2.0,4.0,795.5369871721952,0.5607252348723503,281,106,0.05,0.2,2.0,4.201069875772232,8.000816326530655,0.4760692059739578,1.0,True,0.0,70.12274981489108,standard_30W_30s,9,800.0,0.5,795.5369871721952,0.5607252348723503,False
30.0,30.0,2.0,4.0,977.7884749826313,0.35547658566032936,281,106,0.05,0.2,2.0,3.794415731974631,7.023673469387794,0.5270903720819202,1.0,True,0.0,66.35096487716162,standard_30W_30s,10,800.0,0.5,977.7884749826313,0.35547658566032936,False
30.0,30.0,2.0,4.0,758.5418335145387,0.6550642003269568,281,106,0.05,0.2,2.0,4.333832439751381,8.272653061224537,0.46148530839709484,1.0,True,0.0,71.60459945625577,standard_30W_30s,11,800.0,0.5,758.5418335145387,0.6550642003269568,False
30.0,30.0,2.0,4.0,650.6902813696537,0.6296561769482467,281,106,0.05,0.2,2.0,4.465856261198381,8.595918367346986,0.44784244790344285,1.0,True,0.0,72.98197661236057,standard_30W_30s,12,800.0,0.5,650.6902813696537,0.6296561769482467,False
30.0,30.0,2.0,4.0,868.674418431519,0.25,281,106,0.05,0.2,2.0,3.8046009547320456,7.111836734693917,0.5256793087623188,1.0,True,0.0,66.32128012971397,standard_30W_30s,13,800.0,0.5,868.674418431519,0.25,False
30.0,30.0,2.0,4.0,764.1456090716177,0.6867116681818205,281,106,0.05,0.2,2.0,4.353337557595054,8.316734693877597,0.45941762464771385,1.0,True,0.0,71.86888622836383,standard_30W_30s,14,800.0,0.5,764.1456090716177,0.6867116681818205,False
30.0,30.0,2.0,4.0,719.4435527530652,0.366651309224833,281,106,0.05,0.2,2.0,4.118524635233841,7.8465306122449405,0.4856107895750013,1.0,True,0.0,69.10296712571402,standard_30W_30s,15,800.0,0.5,719.4435527530652,0.366651309224833,False
30.0,30.0,2.0,4.0,738.8557818288641,0.25,281,106,0.05,0.2,2.0,3.9740577240755295,7.545306122449021,0.5032639530834325,1.0,True,0.0,67.69248650329557,standard_30W_30s,16,800.0,0.5,738.8557818288641,0.25,False
30.0,30.0,2.0,4.0,838.2516651361437,0.40950593583926237,281,106,0.05,0.2,2.0,4.002997248385399,7.593061224489837,0.4996256244759339,1.0,True,0.0,68.12577253698826,standard_30W_30s,17,800.0,0.5,838.2516651361437,0.40950593583926237,False
30.0,30.0,2.0,4.0,577.1814867460546,0.3883493486966706,281,106,0.05,0.2,2.0,4.371457484350735,8.419591836734739,0.45751331384549593,1.0,True,0.0,71.59215630757907,standard_30W_30s,18,800.0,0.5,577.1814867460546,0.3883493486966706,False
30.0,30.0,2.0,4.0,902.2224534082447,0.4906362257652377,281,106,0.05,0.2,2.0,4.00806091756203,7.556326530612287,0.49899441179565035,1.0,True,0.0,68.26396744799081,standard_30W_30s,19,800.0,0.5,902.2224534082447,0.4906362257652377,False
30.0,30.0,2.0,4.0,457.18927797052487,0.7984672838806073,281,106,0.05,0.2,2.0,4.963667804948273,9.697959183673523,0.4029278506523347,1.0,True,0.0,79.64361913892564,standard_30W_30s,20,800.0,0.5,457.18927797052487,0.7984672838806073,False
30.0,30.0,2.0,4.0,784.978572557969,0.251687783552093,281,106,0.05,0.2,2.0,3.912978614262782,7.416734693877592,0.5111195836108107,1.0,True,0.0,67.18001351787112,standard_30W_30s,21,800.0,0.5,784.978572557969,0.251687783552093,False
30.0,30.0,2.0,4.0,729.9939825707932,0.7471361231600537,281,106,0.05,0.2,2.0,4.452882834608582,8.529795918367393,0.4491472320932523,1.0,True,0.0,73.03048492313037,standard_30W_30s,22,800.0,0.5,729.9939825707932,0.7471361231600537,False
30.0,30.0,2.0,4.0,926.0230849462004,0.8614456475938108,281,106,0.05,0.2,2.0,4.3235637481881355,8.199183673469433,0.4625813603044791,1.0,True,0.0,71.79571314745212,standard_30W_30s,23,800.0,0.5,926.0230849462004,0.8614456475938108,False
30.0,30.0,2.0,4.0,935.4405484790132,0.44462461742562154,281,106,0.05,0.2,2.0,3.9278358208599853,7.365306122449021,0.5091862519758037,1.0,True,0.0,67.51536043353039,standard_30W_30s,24,800.0,0.5,935.4405484790132,0.44462461742562154,False
30.0,30.0,2.0,4.0,1029.7649545364234,0.7376387865032981,281,106,0.05,0.2,2.0,4.11263245011146,7.7179591836735115,0.4863065261146292,1.0,True,0.0,69.52472293489372,standard_30W_30s,25,800.0,0.5,1029.7649545364234,0.7376387865032981,False
30.0,30.0,2.0,4.0,851.3166090363883,0.4960930673582652,281,106,0.05,0.2,2.0,4.072099227723528,7.721632653061267,0.49114716713769346,1.0,True,0.0,68.83588861574354,standard_30W_30s,26,800.0,0.5,851.3166090363883,0.4960930673582652,False
30.0,30.0,2.0,4.0,878.2139128617764,0.6774251995451477,281,106,0.05,0.2,2.0,4.210067210361247,8.000816326530655,0.4750517984791005,1.0,True,0.0,70.37633172323947,standard_30W_30s,27,800.0,0.5,878.2139128617764,0.6774251995451477,False
30.0,30.0,2.0,4.0,705.5012446283637,0.25,281,106,0.05,0.2,2.0,4.025097192056908,7.677551020408205,0.49688241167114744,1.0,True,0.0,68.10665283207285,standard_30W_30s,28,800.0,0.5,705.5012446283637,0.25,False
30.0,30.0,2.0,4.0,1092.349761510419,0.573655664588506,281,106,0.05,0.2,2.0,3.906360474407318,7.22938775510208,0.5119855203079906,1.0,True,0.0,67.4727435110783,standard_30W_30s,29,800.0,0.5,1092.349761510419,0.573655664588506,False
30.0,30.0,2.0,4.0,716.0093169161812,0.9335212393899559,281,106,0.05,0.2,2.0,4.624342618748827,8.882448979591885,0.43249390559671047,1.0,True,0.0,75.41120839134346,standard_30W_30s,30,800.0,0.5,716.0093169161812,0.9335212393899559,False
30.0,30.0,2.0,4.0,826.3642309673461,0.6108198485919675,281,106,0.05,0.2,2.0,4.209326111721736,8.008163265306164,0.4751354366273946,1.0,True,0.0,70.27466459130873,standard_30W_30s,31,800.0,0.5,826.3642309673461,0.6108198485919675,False
30.0,30.0,2.0,4.0,854.5904195974849,0.5240596943217531,281,106,0.05,0.2,2.0,4.094232016244316,7.765714285714328,0.48849210109851615,1.0,True,0.0,69.08077540052713,standard_30W_30s,32,800.0,0.5,854.5904195974849,0.5240596943217531,False
30.0,30.0,2.0,4.0,707.2610829507188,0.3122972051630126,281,106,0.05,0.2,2.0,4.084662842890312,7.787755102040858,0.48963649557543354,1.0,True,0.0,68.71352415010496,standard_30W_30s,33,800.0,0.5,707.2610829507188,0.3122972051630126,False
30.0,30.0,2.0,4.0,838.123086783271,0.46772001995631307,281,106,0.05,0.2,2.0,4.060698495539089,7.706938775510245,0.49252610165396793,1.0,True,0.0,68.6936942533014,standard_30W_30s,34,800.0,0.5,838.123086783271,0.46772001995631307,False
30.0,30.0,2.0,4.0,1004.4645960914625,0.4126473583338441,281,106,0.05,0.2,2.0,3.8250870582554652,7.067755102040855,0.5228639164391082,1.0,True,0.0,66.65463738220049,standard_30W_30s,35,800.0,0.5,1004.4645960914625,0.4126473583338441,False
30.0,30.0,2.0,4.0,790.0246289624661,0.3014950743914182,281,106,0.05,0.2,2.0,3.9572732902635517,7.490204081632695,0.5053985037932018,1.0,True,0.0,67.60454249880999,standard_30W_30s,36,800.0,0.5,790.0246289624661,0.3014950743914182,False
30.0,30.0,2.0,4.0,863.5578788421672,0.6018850559149775,281,106,0.05,0.2,2.0,4.158161539121738,7.927346938775553,0.48098179476269887,1.0,True,0.0,69.76790468481661,standard_30W_30s,37,800.0,0.5,863.5578788421672,0.6018850559149775,False
30.0,30.0,2.0,4.0,885.8995505372224,0.4016928552112691,281,106,0.05,0.2,2.0,3.9404119786414418,7.402040816326571,0.507561141028089,1.0,True,0.0,67.56947447437913,standard_30W_30s,38,800.0,0.5,885.8995505372224,0.4016928552112691,False
30.0,30.0,2.0,4.0,809.6792806255357,0.43035201250812777,281,106,0.05,0.2,2.0,4.060069758118191,7.706938775510245,0.49260237364172377,1.0,True,0.0,68.63872135086844,standard_30W_30s,39,800.0,0.5,809.6792806255357,0.43035201250812777,False
30.0,30.0,2.0,4.0,780.4759972294951,0.45541376587334886,281,106,0.05,0.2,2.0,4.118990316984609,7.861224489795962,0.4855558877507002,1.0,True,0.0,69.22314424331587,standard_30W_30s,40,800.0,0.5,780.4759972294951,0.45541376587334886,False
30.0,30.0,2.0,4.0,769.6118077959004,0.6949682407902368,281,106,0.05,0.2,2.0,4.353672491773298,8.331428571428617,0.45938228100051187,1.0,True,0.0,71.8850007051353,standard_30W_30s,41,800.0,0.5,769.6118077959004,0.6949682407902368,False
30.0,30.0,2.0,4.0,948.987598148012,0.3311861115820195,281,106,0.05,0.2,2.0,3.799446170320769,7.031020408163303,0.5263925083668575,1.0,True,0.0,66.36482779465861,standard_30W_30s,42,800.0,0.5,948.987598148012,0.3311861115820195,False
30.0,30.0,2.0,4.0,696.263147542001,0.7646466829680202,281,106,0.05,0.2,2.0,4.512633992318687,8.68408163265311,0.44320013619636756,1.0,True,0.0,73.75901243993088,standard_30W_30s,43,800.0,0.5,696.263147542001,0.7646466829680202,False
30.0,30.0,2.0,4.0,843.5763412112589,0.4747638749150496,281,106,0.05,0.2,2.0,4.060970485905003,7.706938775510245,0.4924931138853851,1.0,True,0.0,68.70548276743902,standard_30W_30s,44,800.0,0.5,843.5763412112589,0.4747638749150496,False
30.0,30.0,2.0,4.0,913.9284401204006,0.8297411048889876,281,106,0.05,0.2,2.0,4.308425036332935,8.184489795918411,0.46420675377522097,1.0,True,0.0,71.58923459231502,standard_30W_30s,45,800.0,0.5,913.9284401204006,0.8297411048889876,False
30.0,30.0,2.0,4.0,800.036856821519,0.34784329266644476,281,106,0.05,0.2,2.0,3.989346182861892,7.574693877551062,0.5013352836091133,1.0,True,0.0,67.94244230599357,standard_30W_30s,46,800.0,0.5,800.036856821519,0.34784329266644476,False
30.0,30.0,2.0,4.0,606.1729507149495,0.5901088764241685,281,106,0.05,0.2,2.0,4.501638856342806,8.676734693877599,0.44428264101683795,1.0,True,0.0,73.33652809754747,standard_30W_30s,47,800.0,0.5,606.1729507149495,0.5901088764241685,False
30.0,30.0,2.0,4.0,573.3863866998639,0.25,281,106,0.05,0.2,2.0,4.247419492650673,8.162448979591883,0.47087413980667747,1.0,True,0.0,70.13808632383461,standard_30W_30s,48,800.0,0.5,573.3863866998639,0.25,False
30.0,30.0,2.0,4.0,830.6053798585748,0.6650353653588434,281,106,0.05,0.2,2.0,4.251553358194357,8.096326530612291,0.47041629999662143,1.0,True,0.0,70.78432911619527,standard_30W_30s,49,800.0,0.5,830.6053798585748,0.6650353653588434,False
30.0,30.0,2.0,4.0,820.5549431004024,0.34002441515742465,281,106,0.05,0.2,2.0,3.956932154309145,7.468163265306163,0.5054420753264564,1.0,True,0.0,67.6446858918167,standard_30W_30s,50,800.0,0.5,820.5549431004024,0.34002441515742465,False
30.0,30.0,2.0,4.0,657.5410115949064,0.37503066891253223,281,106,0.05,0.2,2.0,4.2221759719434715,8.081632653061268,0.4736893993263379,1.0,True,0.0,70.07555484449536,standard_30W_30s,51,800.0,0.5,657.5410115949064,0.37503066891253223,False
30.0,30.0,2.0,4.0,752.7668787568166,0.2572669181885252,281,106,0.05,0.2,2.0,3.9622824116873545,7.530612244898,0.5047595784946313,1.0,True,0.0,67.59893062321002,standard_30W_30s,52,800.0,0.5,752.7668787568166,0.2572669181885252,False
30.0,30.0,2.0,4.0,690.8983934807111,0.4400856192406472,281,106,0.05,0.2,2.0,4.2311256718068435,8.088979591836779,0.47268744895159964,1.0,True,0.0,70.26032496014128,standard_30W_30s,53,800.0,0.5,690.8983934807111,0.4400856192406472,False
30.0,30.0,2.0,4.0,897.8665607100406,0.5135368922034942,281,106,0.05,0.2,2.0,4.036352770354989,7.637142857142899,0.4954968293874136,1.0,True,0.0,68.53162040882495,standard_30W_30s,54,800.0,0.5,897.8665607100406,0.5135368922034942,False
30.0,30.0,2.0,4.0,871.977140119908,0.9171070810987672,281,106,0.05,0.2,2.0,4.42662694857651,8.441632653061271,0.45181128277438165,1.0,True,0.0,73.0098110012543,standard_30W_30s,55,800.0,0.5,871.977140119908,0.9171070810987672,False
30.0,30.0,2.0,4.0,664.3969599504403,0.25,281,106,0.05,0.2,2.0,4.08937791963101,7.8097959183673895,0.4890719418225016,1.0,True,0.0,68.67398323698265,standard_30W_30s,56,800.0,0.5,664.3969599504403,0.25,False
30.0,30.0,2.0,4.0,818.3733872350972,0.27444637706288344,281,106,0.05,0.2,2.0,3.892505341185187,7.321224489795958,0.5138079012605906,1.0,True,0.0,67.04082344216758,standard_30W_30s,57,800.0,0.5,818.3733872350972,0.27444637706288344,False
30.0,30.0,2.0,4.0,984.4968615972546,0.5211178900581676,281,106,0.05,0.2,2.0,3.9534025487225084,7.402040816326571,0.5058933350074039,1.0,True,0.0,67.81833490485546,standard_30W_30s,58,800.0,0.5,984.4968615972546,0.5211178900581676,False
30.0,30.0,2.0,4.0,793.8019659512016,0.47913061578883614,281,106,0.05,0.2,2.0,4.124897722835492,7.868571428571472,0.4848605067049231,1.0,True,0.0,69.30696392817356,standard_30W_30s,59,800.0,0.5,793.8019659512016,0.47913061578883614,False
30.0,30.0,2.0,4.0,749.5571578438029,0.6230878012725592,281,106,0.05,0.2,2.0,4.317601721325963,8.257959183673515,0.46322012290327397,1.0,True,0.0,71.3846176192417,standard_30W_30s,60,800.0,0.5,749.5571578438029,0.6230878012725592,False
30.0,30.0,2.0,4.0,678.3046884248145,0.2889367894045213,281,106,0.05,0.2,2.0,4.104961917560136,7.831836734693921,0.4872152385736965,1.0,True,0.0,68.87524490903074,standard_30W_30s,61,800.0,0.5,678.3046884248145,0.2889367894045213,False
